Time,Open,High,Low,Close
0,0,0,0,0
0,203,211,179,204
900,204,213,180,209
1800,210,217,183,215
2700,214,218,185,207
3600,217,219,186,217
4500,217,219,188,188
5400,188,221,187,218
6300,219,221,189,189
7200,189,225,189,220
8100,224,226,194,225
9000,224,227,194,218
9900,225,228,194,227
10800,227,227,195,225
11700,225,227,196,227
12600,226,228,195,225
13500,225,226,194,225
14400,225,227,195,226
15300,226,228,195,225
16200,225,229,195,223
17100,229,231,197,224
18000,228,228,196,224
18900,223,228,196,221
19800,209,230,197,230
20700,230,230,198,198
21600,198,230,198,229
22500,229,230,197,228
23400,226,233,199,232
24300,231,233,201,203
25200,203,233,199,230
26100,230,231,199,201
27000,201,233,199,228
27900,228,233,200,231
28800,224,236,202,236
29700,235,238,206,219
30600,235,238,206,219
